



"Microwave Link Report"
"Save Time:03/26/2025 23:24:27"
"User Name:admin"
"Data Source:NE"

"Total 553 Records"

"Link Name","Source Physical Location","Source NE Name","Source NE ID","Source Board","Source Port","Sink Physical Location","Sink NE Name","Sink NE ID","Sink Board","Sink Port","Level","Up and down Rate Ratio(TX:RX)","Source Protect Type","Sink Protect Type","Source Protection Group ID","Sink Protection Group ID","Source Protect Unit Type","Sink Protect Unit Type","Source Revertive Mode","Sink Revertive Mode","Source Protection Group Active Work Unit","Sink Protection Group Active Work Unit","Source XPIC Group ID","Sink XPIC Group ID","Source XPIC Group Capacity (Mbit/s)","Sink XPIC Group Capacity (Mbit/s)","Source XPIC Polarization Direction","Sink XPIC Polarization Direction","Source XPIC Adjoin NEID","Sink XPIC Adjoin NEID","Source XPIC Adjoin LinkID","Sink XPIC Adjoin LinkID","Source Frequency(GHz)","Sink Frequency(GHz)","Source ODU Frequency Range(MHz)","Sink ODU Frequency Range(MHz)","Source Equipment Information","Sink Equipment Information","Source Station Type","Sink Station Type","Source NE Frequency (MHz)","Sink NE Frequency (MHz)","Source NE Radio Work Mode","Sink NE Radio Work Mode","Source NE Preset Value of Transmit Power","Sink NE Preset Value of Transmit Power","Source NE Current Value of Transmit Power","Sink NE Current Value of Transmit Power","Source NE Preset Value of Receive Power","Sink NE Preset Value of Receive Power","Source NE Current Value of Receive Power","Sink NE Current Value of Receive Power","Source NE Max Value of Transmit Power of 24-Hour PM","Sink NE Max Value of Transmit Power of 24-Hour PM","Source NE Min Value of Transmit Power of 24-Hour PM","Sink NE Min Value of Transmit Power of 24-Hour PM","Source NE Max Value of Receive Power of 24-Hour PM","Sink NE Max Value of Receive Power of 24-Hour PM","Source NE Min Value of Receive Power of 24-Hour PM","Sink NE Min Value of Receive Power of 24-Hour PM","Source NE Guaranteed E1 Capacity","Sink NE Guaranteed E1 Capacity","Source NE Occupied E1 Capacity","Sink NE Occupied E1 Capacity","Source NE E1 Capacity Usage (%)","Sink NE E1 Capacity Usage (%)","Source NE Ethernet Capacity (Mbit/s)","Sink NE Ethernet Capacity (Mbit/s)","Source NE Max. Ethernet Throughput (kbps)","Sink NE Max. Ethernet Throughput (kbps)","Source NE Min. Ethernet Throughput (kbps)","Sink NE Min. Ethernet Throughput (kbps)","Source NE Average Ethernet Throughput (kbps)","Sink NE Average Ethernet Throughput (kbps)","Source NE ATPC Enable Status","Sink NE ATPC Enable Status","Source NE ATPC Upper Threshold","Sink NE ATPC Upper Threshold","Source NE ATPC Lower Threshold","Sink NE ATPC Lower Threshold","Source NE ATPC Automatic Threshold Enable Status","Sink NE ATPC Automatic Threshold Enable Status","Source NE ATPC Upper Automatic Threshold","Sink NE ATPC Upper Automatic Threshold","Source NE ATPC Lower Automatic Threshold","Sink NE ATPC Lower Automatic Threshold","Source NE AM Status","Sink NE AM Status","Source AM Full Capacity Modulation Format","Sink AM Full Capacity Modulation Format","Source AM Guaranteed Capacity Modulation Format","Sink AM Guaranteed Capacity Modulation Format","Highest-Order AM Scheme for Source NE","Highest-Order AM Scheme for Sink NE","Lowest-Order AM Scheme for Source NE","Lowest-Order AM Scheme for Sink NE","Link ID","Site Distance","Source PLA ID","Sink PLA ID","Source PLA Type","Sink PLA Type","Source PLA Port Type","Sink PLA Port Type"
l-2,,6321-RTN392301_CATALKOY_TD,48-301,5-ISX2,1(RTNIF-1),,1332-RTN392292_DOGANKOY,48-292,3-ISX2,1(RTNIF-1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,"[22260.000,22610.000]","[23268.000,23618.000]",XMC-2,XMC-2,TX low,TX high,22330.000,23338.000,"1E1,28MHz,256QAM","1E1,28MHz,256QAM",21.00,21.00,17.60,17.50,-10.00,-10.00,-42.60,-41.90,17.60,17.60,17.50,17.50,-40.90,-40.60,-43.50,-43.30,1,1,0,0,0.00,0.00,180.075,180.075,94836,135627,0,8,1130,4278,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,79,-,/,/,/,/,/,/
l-6,,1675-RTN392468_MALPAS_OTEL,48-468,3-ISX2,1(RTNIF-1),,6321-RTN392301_CATALKOY_TD,48-301,3-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38794.000,37534.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",20.00,20.00,10.00,10.00,-10.00,-10.00,-34.00,-34.30,10.00,10.10,10.00,9.90,-33.30,-33.60,-34.70,-34.90,1,1,0,0,0.00,0.00,360.014,360.016,283864,171056,0,0,20959,3206,Enabled,Enabled,-30.00,-30.00,-40.00,-40.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,83,-,/,/,/,/,/,/
l-9,,1526-RTN392254_DORTYOL_TD,48-254,4-ISX2,1(RTNIF-1),,1623-RTN392255_GECITKALE_TD,48-255,3-ISX2,1(RTNIF-1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18180.000,18700.000]","[19190.000,19710.000]",XMC-2,XMC-2,TX low,TX high,18387.500,19397.500,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",21.00,21.00,16.60,16.50,-10.00,-10.00,-37.50,-38.30,19.50,16.60,16.50,16.50,-34.80,-36.50,-61.10,-65.50,1,1,0,0,0.00,0.00,86.054,86.054,16362,60651,0,0,482,3829,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,85,-,/,/,/,/,/,/
l-11,,1212-RTN392284_IKIBUCUK_MIL,48-284,4-ISX2,1(RTNIF-1),,1271-RTN392293_TUNCAY_APT,48-293,3-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,"[22260.000,22610.000]","[23268.000,23618.000]",XMC-2,XMC-2,TX low,TX high,22428.000,23436.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",21.00,21.00,17.50,17.50,-10.00,-10.00,-35.80,-35.70,17.60,17.60,17.50,17.50,-30.90,-31.40,-36.60,-36.60,1,1,0,0,0.00,0.00,360.016,360.014,99990,255634,0,0,10739,33562,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,87,-,/,/,/,/,/,/
l-17,,1212-RTN392284_IKIBUCUK_MIL,48-284,6-ISX2,1(RTNIF-1),,1407-RTN392283_HARIKA,48-283,3-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18180.000,18700.000]","[19190.000,19710.000]",XMC-2,XMC-2,TX low,TX high,18635.000,19645.000,"2E1,56MHz,256QAM","2E1,56MHz,256QAM",21.00,21.00,12.50,10.50,-10.00,-10.00,-37.00,-35.50,16.50,16.50,6.40,6.40,-31.80,-33.60,-44.00,-44.50,2,2,0,0,0.00,0.00,357.941,357.938,64453,190108,0,0,3886,12045,Enabled,Enabled,-30.00,-30.00,-45.00,-45.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,88,-,/,/,/,/,/,/
l-24,,1612-RTN392205_DAU,48-205,4-ISX2,1(RTNIF-1),,1518-RTN392280_TUZLA,48-280,3-ISX2,1(RTNIF-1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38696.000,37436.000,"1E1,28MHz,256QAM","1E1,28MHz,256QAM",17.00,17.00,12.00,12.00,-10.00,-10.00,-35.40,-36.00,12.00,12.10,11.90,11.90,-33.70,-33.70,-36.00,-36.30,1,1,0,0,0.00,0.00,180.075,180.075,57352,170755,105,0,3763,14989,Enabled,Enabled,-30.00,-30.00,-40.00,-40.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,93,-,/,/,/,/,/,/
l-26,,1613-RTN392289_ISKELE_TD,48-289,6-ISX2,1(RTNIF-1),,1109-RTN392290_CYPRUS_GARDEN,48-290,3-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,"[22260.000,22610.000]","[23268.000,23618.000]",XMC-2,XMC-2,TX low,TX high,22540.000,23548.000,"2E1,56MHz,256QAM","2E1,56MHz,256QAM",20.00,20.00,7.50,5.60,-10.00,-10.00,-43.80,-42.90,7.60,5.60,7.50,5.50,-42.50,-41.90,-44.40,-44.50,2,2,0,0,0.00,0.00,357.941,357.938,151308,318350,0,0,11725,54274,Enabled,Enabled,-35.00,-35.00,-50.00,-50.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,95,-,/,/,/,/,/,/
l-1,,1203-RTN392291_ATLANTIK_HOTEL,48-291,3-ISX2,1(RTNIF-1),,6303-RTN392164_GIRNE_TD_VIP2,48-164,6-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,"[22260.000,22610.000]","[23268.000,23618.000]",XMC-2,XMC-2,TX low,TX high,22372.000,23380.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",21.00,21.00,17.50,17.40,-10.00,-10.00,-32.30,-30.30,17.60,17.50,17.50,17.40,-32.00,-29.70,-32.70,-30.60,1,1,0,0,0.00,0.00,360.014,360.016,293804,185404,0,0,22023,5520,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,127,-,/,/,/,/,/,/
l-1,,1526-RTN392173_DORTYOL_TD,48-173,4-ISV3,1(RTNIF-1),,1218-RTN392182_CANAKKALE,48-182,3-ISV3,1(RTNIF-1),Hybrid(432Mbit/s),-,None,None,-,-,-,-,-,-,-,-,2,1,864,0,V,V,-,-,-,-,15,15,"[14718.000,14928.000]","[15138.000,15348.000]",XMC-2,XMC-2,TX low,TX high,14893.000,15313.000,"2E1,56MHz,1024QAM","2E1,56MHz,1024QAM",22.00,22.00,18.90,18.90,-10.00,-10.00,-33.30,-34.60,/,/,/,/,/,/,/,/,2,2,0,0,0.00,0.00,426.834,426.834,424698,339520,0,0,18392,18856,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,16QAM,16QAM,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,139,-,3,3,PLA,PLA,Master,Master
l-9,,1328-RTN392184_LEFKE_KULE,48-184,3-ISX2,1(RTNIF-1),,1311-RTN392188_KALKANLI_VIP2,48-188,4-ISX2,1(RTNIF-1),Hybrid(183Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Work Unit,Revertive,Revertive,Protect Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,7,7,"[7645.000,7729.000]","[7400.000,7484.000]",XMC-2,XMC-2,TX high,TX low,7715.000,7470.000,"6E1,28MHz,256QAM","6E1,28MHz,256QAM",25.50,25.50,-55.00,22.90,-10.00,-10.00,-52.80,-46.70,/,/,/,/,/,/,/,/,6,6,0,1,0.00,16.67,169.745,169.745,8341,8996,0,0,19,52,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,144,-,/,/,/,/,/,/
l-6,,1328-RTN392184_LEFKE_KULE,48-184,5-ISX2,1(RTNIF-1),,1311-RTN392188_KALKANLI_VIP2,48-188,6-ISX2,1(RTNIF-1),Hybrid(183Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Protect Unit,Revertive,Revertive,Work Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,7,7,"[7645.000,7729.000]","[7400.000,7484.000]",XMC-2,XMC-2,TX high,TX low,7715.000,7470.000,"6E1,28MHz,256QAM","6E1,28MHz,256QAM",25.50,25.50,22.90,-55.00,-10.00,-10.00,-46.70,-51.40,/,/,/,/,/,/,/,/,6,6,0,0,0.00,0.00,169.745,169.745,8432,8877,0,0,19,52,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,149,-,/,/,/,/,/,/
l-7,,6398-RTN392172_ASLANKOY,48-172,3-ISV3,1(RTNIF-1),,1526-RTN392173_DORTYOL_TD,48-173,3-ISV3,1(RTNIF-1),Hybrid(453Mbit/s),-,None,None,-,-,-,-,-,-,-,-,1,1,906,906,H,H,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15061.000,14641.000,"2E1,56MHz,1024QAMLight","2E1,56MHz,1024QAMLight",24.00,24.00,18.90,19.00,-10.00,-10.00,-37.60,-39.80,19.00,/,18.90,/,-24.80,/,-54.40,/,2,2,0,0,0.00,0.00,448.101,448.101,48593,638939,0,0,1674,24304,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAM,16QAM,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,150,-,2,2,PLA,PLA,Master,Master
l-8,,6398-RTN392172_ASLANKOY,48-172,5-ISV3,1(RTNIF-1),,1526-RTN392173_DORTYOL_TD,48-173,5-ISV3,1(RTNIF-1),Hybrid(453Mbit/s),-,None,None,-,-,-,-,-,-,-,-,1,1,906,906,V,V,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15061.000,14641.000,"2E1,56MHz,1024QAMLight","2E1,56MHz,1024QAMLight",24.00,24.00,18.90,18.90,-10.00,-10.00,-39.30,-40.10,18.90,/,18.90,/,-26.20,/,-54.30,/,2,2,0,0,0.00,0.00,448.101,448.101,0,0,0,0,0,0,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAM,16QAM,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,151,-,2,2,PLA,PLA,Slave,Slave
